                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.53304,                0.43807,                0.85771,                0.93435,                0.95164,                0.98045,                0.87099,                 0.4931,                0.42252,                 0.8207,              0.0011059,              0.0011059,              0.0011059
                     36,                0.53744,                0.43723,                0.85307,                0.94625,                0.94878,                0.98574,                0.88775,                0.48894,                0.41809,                0.81712,              0.0010894,              0.0010894,              0.0010894
                     37,                 0.5252,                0.43609,                0.85484,                 0.9193,                0.98679,                0.98748,                0.88812,                0.46525,                0.38844,                0.81528,              0.0010729,              0.0010729,              0.0010729
                     38,                0.49703,                0.41215,                 0.8463,                0.97134,                0.92655,                0.98801,                0.88993,                0.46285,                0.39198,                0.81541,              0.0010564,              0.0010564,              0.0010564
                     39,                0.52163,                0.41135,                0.85118,                 0.9561,                0.94107,                0.98435,                 0.8953,                0.44086,                0.41732,                0.80593,              0.0010399,              0.0010399,              0.0010399
                     40,                0.51306,                0.41414,                0.84433,                0.93625,                0.96041,                0.98768,                0.89023,                 0.4583,                0.39423,                0.81075,              0.0010234,              0.0010234,              0.0010234
                     41,                0.49402,                0.40334,                0.85286,                0.94643,                0.96582,                0.98531,                0.88538,                0.46379,                0.38286,                0.80566,              0.0010069,              0.0010069,              0.0010069
                     42,                0.52353,                 0.4168,                0.85284,                0.95963,                0.93455,                0.98301,                0.86625,                0.52254,                0.39658,                0.81742,             0.00099036,             0.00099036,             0.00099036
                     43,                 0.4983,                0.39232,                0.84222,                 0.9366,                0.95892,                0.98447,                0.88688,                 0.4635,                0.38763,                0.80939,             0.00097386,             0.00097386,             0.00097386
                     44,                0.49807,                 0.3933,                0.84195,                0.93255,                 0.9503,                0.98315,                0.88427,                0.46801,                0.37298,                0.81002,             0.00095736,             0.00095736,             0.00095736
                     45,                  0.496,                0.40466,                0.84358,                0.91447,                0.96812,                0.98013,                0.87305,                0.51961,                0.41954,                0.82315,             0.00094085,             0.00094085,             0.00094085
                     46,                0.47909,                0.38691,                0.84276,                0.96097,                0.92945,                0.98245,                0.87771,                0.48994,                 0.3927,                0.81702,             0.00092435,             0.00092435,             0.00092435
                     47,                0.48302,                 0.4086,                0.84708,                0.91271,                0.97091,                0.98285,                0.89777,                0.44461,                0.40475,                0.80701,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.4718,                0.38369,                0.84342,                0.95186,                0.94314,                  0.986,                0.89563,                0.44549,                0.37267,                0.80918,             0.00089134,             0.00089134,             0.00089134
                     49,                0.47491,                0.37835,                0.84657,                0.96205,                0.91118,                0.97709,                0.88823,                0.42748,                0.39037,                0.80363,             0.00087484,             0.00087484,             0.00087484
                     50,                0.46009,                0.37156,                0.83253,                0.93463,                0.96086,                0.98361,                0.89484,                0.42959,                0.37184,                0.80582,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.4653,                0.37505,                0.83479,                0.97417,                0.94299,                0.98653,                0.89856,                0.44122,                0.34931,                 0.8049,             0.00084184,             0.00084184,             0.00084184
                     52,                0.48517,                0.38239,                0.84796,                0.95749,                0.93571,                 0.9792,                0.89441,                0.42411,                0.38386,                0.80491,             0.00082533,             0.00082533,             0.00082533
                     53,                0.45983,                0.37554,                0.83643,                0.95592,                 0.9415,                0.98515,                0.89348,                0.44793,                0.36469,                0.80788,             0.00080883,             0.00080883,             0.00080883
                     54,                0.45523,                0.37833,                0.83964,                0.95775,                0.95413,                0.98409,                0.88383,                0.47635,                0.36351,                 0.8127,             0.00079233,             0.00079233,             0.00079233
